0 , [ 101, 20, 0.1, 1 ] 
1 , [ 101, 76.607595, 0.1, 1 ] 
2 , [ 101, 12.133835, 0.1, 1 ] 
3 , [ 101, 4.173377, 0.1, 1 ] 
4 , [ 101, 101, 0.1, 1 ] 
5 , [ 101, 50.5, 0.1, 1 ] 
6 , [ 152.462853, 101, 0.1, 2 ] 
7 , [ 135.960639, 101, 0.1, 2 ] 
8 , [ 105.081368, 101, 0.1, 2 ] 
9 , [ 155.236317, 101, 0.1, 2 ] 
10 , [ 201, 101, 0.1, 2 ] 
11 , [ 150, 101, 0.1, 2 ] 
12 , [ 201, 401.877295, 0.1, 3 ] 
13 , [ 201, 399.408419, 0.1, 3 ] 
14 , [ 201, 265.83709, 0.1, 3 ] 
15 , [ 201, 268.431116, 0.1, 3 ] 
16 , [ 201, 301, 0.1, 3 ] 
