0 , [ 1, 150, 0.721901, 1 ] 
1 , [ 2, 150, 0.721901, 1 ] 
2 , [ 2, 100, 0.721901, 1 ] 
3 , [ 2, 200, 0.721901, 1 ] 
4 , [ 4, 50, 0.721901, 1 ] 
5 , [ 4, 100, 0.721901, 1 ] 
6 , [ 4, 40, 0.721901, 1 ] 
7 , [ 4, 80, 0.721901, 1 ] 
8 , [ 12, 10, 0.577367, 2 ] 
9 , [ 12, 15, 0.577367, 2 ] 
10 , [ 12, 30, 0.577367, 2 ] 
11 , [ 15, 30, 0.577367, 2 ] 
12 , [ 15, 20, 0.577367, 2 ] 
13 , [ 15, 10, 0.577367, 2 ] 
14 , [ 18, 10, 0.577367, 2 ] 
15 , [ 18, 15, 0.577367, 2 ] 
16 , [ 50, 2, 0.347983, 3 ] 
17 , [ 50, 8, 0.347983, 3 ] 
18 , [ 50, 4, 0.347983, 3 ] 
19 , [ 100, 0, 0.347983, 3 ] 
20 , [ 100, 2, 0.347983, 3 ] 
21 , [ 100, 4, 0.347983, 3 ] 
22 , [ 150, 2, 0.244857, 3 ] 
23 , [ 150, 4, 0.244857, 3 ] 
24 , [ 200, 2, 0.244857, 3 ] 
25 , [ 200, 4, 0.244857, 3 ] 
26 , [ 200, 3.085387, 0.244857, 3 ] 
27 , [ 200, 2.069402, 0.244857, 3 ] 
