0 , [ 278.71499129057, 3.2685236974217, 0.54977139059379, 3 ] 
1 , [ 325.86494047333, 3.26, 0.54977139059379, 3 ] 
2 , [ 38.714991290569, 3.26, 0.54977139059379, 2 ] 
3 , [ 278, 15.321252177358, 0.54977139059379, 2 ] 
4 , [ 278, 46.23002250866, 0.54977139059379, 2 ] 
5 , [ 278, 57.732863504549, 0.54977139059379, 2 ] 
6 , [ 278, 32.289965881948, 0.54977139059379, 2 ] 
7 , [ 278, 79.045864924629, 0.54977139059379, 2 ] 
8 , [ 5.8258380189611, 9.3315389306388, 0.54977139059379, 1 ] 
9 , [ 5.8258380189611, 21.587880563575, 0.54977139059379, 1 ] 
10 , [ 5.8258380189611, 32.289965881948, 0.54977139059379, 1 ] 
11 , [ 5.8258380189611, 60.911742090703, 0.54977139059379, 1 ] 
12 , [ 5.8258380189611, 94.170149026, 0.54977139059379, 1 ] 
13 , [ 10, 9.33, 0.54977139059379, 1 ] 
14 , [ 6.876997749134, 9.33, 0.54977139059379, 1 ] 
15 , [ 49.331803540673, 6.6069220260309, 0.54977139059379, 2 ] 
16 , [ 49.331803540673, 10.315131966974, 0.54977139059379, 2 ] 
17 , [ 49.331803540673, 26.852015073194, 0.54977139059379, 2 ] 
18 , [ 49.331803540673, 50, 0.54977139059379, 2 ] 
19 , [ 49.331803540673, 62.289965881948, 0.54977139059379, 2 ] 
20 , [ 41.362438262075, 6.6, 0.54977139059379, 2 ] 
21 , [ 161.659701948, 6.6, 0.54977139059379, 3 ] 
22 , [ 161.659701948, 1.6640067328529, 0.54977139059379, 3 ] 
23 , [ 161.659701948, 9.3315389306388, 0.54977139059379, 3 ] 
24 , [ 161.659701948, 16.23002250866, 0.54977139059379, 3 ] 
25 , [ 161.659701948, 35, 0.54977139059379, 2 ] 
26 , [ 161.659701948, 55.315131966974, 0.54977139059379, 2 ] 
27 , [ 161.659701948, 92.289965881948, 0.54977139059379, 2 ] 
28 , [ 40, 0, 0.54977139059379, 3 ] 
29 , [ 156.82423887285, 0, 0.54977139059379, 3 ] 
30 , [ 180.38615124833, 0, 0.54977139059379, 3 ] 
31 , [ 16.935749564528, 25.784674878754, 0.54977139059379, 1 ] 
32 , [ 16.935749564528, 21.731476302578, 0.54977139059379, 1 ] 
33 , [ 16.935749564528, 47.886602751363, 0.54977139059379, 1 ] 
34 , [ 16.935749564528, 60.476521871613, 0.54977139059379, 1 ] 
35 , [ 16.935749564528, 84.498577760265, 0.54977139059379, 1 ] 
36 , [ 16.935749564528, 68.594765955854, 0.54977139059379, 1 ] 
37 , [ 3.0353137266623, 25.78, 0.54977139059379, 1 ] 
38 , [ 9.1647461527232, 25.78, 0.54977139059379, 1 ] 
39 , [ 17.492009003464, 25.78, 0.54977139059379, 1 ] 
40 , [ 8.2289965881948, 25.78, 0.54977139059379, 1 ] 
41 , [ 285.84602090581, 6.7314763025783, 0.54977139059379, 3 ] 
42 , [ 285.84602090581, 15.823730763616, 0.54977139059379, 3 ] 
43 , [ 285.84602090581, 25.566414744665, 0.54977139059379, 3 ] 
44 , [ 285.84602090581, 38.335993267147, 0.54977139059379, 2 ] 
45 , [ 285.84602090581, 52.915387420852, 0.54977139059379, 2 ] 
46 , [ 275.07990996536, 6.73, 0.54977139059379, 3 ] 
47 , [ 188.33845031659, 6.73, 0.54977139059379, 3 ] 
48 , [ 371.05355092299, 6.73, 0.54977139059379, 3 ] 
49 , [ 400, 6.73, 0.54977139059379, 3 ] 
50 , [ 48.494163025791, 6.73, 0.54977139059379, 2 ] 
51 , [ 302.92764524628, 6.73, 0.54977139059379, 3 ] 
