0 , [ 50, 0, 0.31565051177078, 1 ] 
1 , [ 50, 6.1221535544766, 0.31565051177078, 1 ] 
2 , [ 50, 16.037113986791, 0.31565051177078, 1 ] 
3 , [ 50, 44.215325121246, 0.31565051177078, 1 ] 
4 , [ 50, 48.412119436425, 0.31565051177078, 1 ] 
5 , [ 50, 51.361872259992, 0.31565051177078, 1 ] 
6 , [ 50, 58.147984926806, 0.31565051177078, 1 ] 
7 , [ 50, 74.433585255335, 0.31565051177078, 1 ] 
8 , [ 50, 100, 0.31565051177078, 1 ] 
9 , [ 50, 81.315062076346, 0.31565051177078, 1 ] 
10 , [ 100, 100, 0.31565051177078, 2 ] 
11 , [ 100, 106.90353104583, 0.31565051177078, 2 ] 
12 , [ 100, 114.43358525534, 0.31565051177078, 2 ] 
13 , [ 100, 133.53376488167, 0.31565051177078, 2 ] 
14 , [ 100, 149.04586492463, 0.31565051177078, 2 ] 
15 , [ 100, 178.58786840031, 0.31565051177078, 2 ] 
16 , [ 100, 200, 0.31565051177078, 2 ] 
17 , [ 100, 175.12637533712, 0.31565051177078, 2 ] 
18 , [ 200, 200, 0.31565051177078, 3 ] 
19 , [ 200, 203.26852369742, 0.31565051177078, 3 ] 
20 , [ 200, 218.53376488167, 0.31565051177078, 3 ] 
21 , [ 200, 232.0091244617, 0.31565051177078, 3 ] 
22 , [ 200, 237.71003411805, 0.31565051177078, 3 ] 
23 , [ 200, 250, 0.31565051177078, 3 ] 
24 , [ 200, 265.70703213222, 0.31565051177078, 3 ] 
25 , [ 200, 300, 0.31565051177078, 3 ] 
26 , [ 200, 261.71139768564, 0.31565051177078, 3 ] 
