0 , [ 50, 48.968647313694, 0.17996998014168, 1 ] 
1 , [ 100, 100, 0.17996998014168, 2 ] 
2 , [ 100, 132.28996588195, 0.17996998014168, 2 ] 
3 , [ 100, 148.87784644552, 0.17996998014168, 2 ] 
4 , [ 100, 172.01250367514, 0.17996998014168, 2 ] 
5 , [ 100, 200, 0.17996998014168, 2 ] 
6 , [ 100, 165.9087703313, 0.17996998014168, 2 ] 
7 , [ 200, 200, 0.17996998014168, 3 ] 
8 , [ 200, 233.53376488167, 0.17996998014168, 3 ] 
9 , [ 200, 246.37149098178, 0.17996998014168, 3 ] 
10 , [ 200, 257.87645924355, 0.17996998014168, 3 ] 
11 , [ 200, 266.73147630258, 0.17996998014168, 3 ] 
12 , [ 200, 269.5571023774, 0.17996998014168, 3 ] 
13 , [ 200, 296.31506207635, 0.17996998014168, 3 ] 
