0 , [ 50, 0, 0.058298509739997, 1 ] 
1 , [ 50, 54.268088688429, 0.29085109458314, 1 ] 
2 , [ 50, 20.908770331302, 0.29085109458314, 1 ] 
3 , [ 50, 20.908770331302, 0.61443405731834, 1 ] 
4 , [ 50, 20.908770331302, 0.16007955851932, 1 ] 
5 , [ 50, 52.375005449634, 0.16007955851932, 1 ] 
6 , [ 50, 64.575656659981, 0.16007955851932, 1 ] 
7 , [ 50, 64.575656659981, 0.35, 1 ] 
8 , [ 50, 64.575656659981, 0.62937128012253, 1 ] 
9 , [ 50, 100, 0.62937128012253, 1 ] 
10 , [ 50, 37.236612269252, 0.3753154778953, 1 ] 
11 , [ 100, 156.59962545151, 0.3753154778953, 2 ] 
12 , [ 100, 171.14498294097, 0.3753154778953, 2 ] 
13 , [ 100, 171.14498294097, 0.34170149026, 2 ] 
14 , [ 100, 171.14498294097, 0.68908370671722, 2 ] 
15 , [ 100, 200, 0.68908370671722, 2 ] 
16 , [ 100, 148.09646895417, 0.68908370671722, 2 ] 
17 , [ 100, 116.23002250866, 0.68908370671722, 2 ] 
18 , [ 100, 107.11339724864, 0.68908370671722, 2 ] 
19 , [ 100, 100, 0.68908370671722, 2 ] 
20 , [ 100, 100, 0.51656580242703, 2 ] 
21 , [ 100, 135, 0.51656580242703, 2 ] 
22 , [ 100, 148.58786840031, 0.51656580242703, 2 ] 
23 , [ 100, 168.33599326715, 0.51656580242703, 2 ] 
24 , [ 200, 300, 0.51656580242703, 2 ] 
25 , [ 200, 300, 0.29825296334415, 2 ] 
26 , [ 200, 300, 0.60942847263804, 3 ] 
27 , [ 200, 300, 0.73855017059026, 3 ] 
28 , [ 200, 300, 0.69498577760265, 3 ] 
29 , [ 200, 300, 0.4607723702266, 3 ] 
